Term,SubjectCode,CourseCode,Instructor,Section,QuestionID,QuestionText,ChoiceText,Count
FA15,CHEM,6A,"Bussey, Thomas J",E01,20,This [coursetype] is difficult relative to others.,strongly agree,10
FA15,CHEM,6A,"Bussey, Thomas J",E01,24,How many hours a week do you spend studying outside of class on average?,10-11,4
FA15,CHEM,6A,"Bussey, Thomas J",E01,24,How many hours a week do you spend studying outside of class on average?,14-15,1
FA15,CHEM,6A,"Bussey, Thomas J",E01,24,How many hours a week do you spend studying outside of class on average?,2-3,3
FA15,CHEM,6A,"Bussey, Thomas J",E01,24,How many hours a week do you spend studying outside of class on average?,4-5,6
FA15,CHEM,6A,"Bussey, Thomas J",E01,24,How many hours a week do you spend studying outside of class on average?,6-7,6
FA15,CHEM,6A,"Bussey, Thomas J",E01,24,How many hours a week do you spend studying outside of class on average?,8-9,4
FA15,CHEM,6A,"Bussey, Thomas J",E01,26,Do you recommend this [coursetype] overall?,No,2
FA15,CHEM,6A,"Bussey, Thomas J",E01,26,Do you recommend this [coursetype] overall?,Yes,22
FA15,CHEM,6A,"Bussey, Thomas J",E01,27,Do you recommend this professor overall?,No,1
FA15,CHEM,6A,"Bussey, Thomas J",E01,27,Do you recommend this professor overall?,Yes,23
FA15,CHEM,6A,"Bussey, Thomas J",E02,2,Your reason for taking this class is,gen. ed.,4
FA15,CHEM,6A,"Bussey, Thomas J",E02,2,Your reason for taking this class is,major,18
FA15,CHEM,6A,"Bussey, Thomas J",E02,3,What grade do you expect in this class?,A,9
FA15,CHEM,6A,"Bussey, Thomas J",E02,3,What grade do you expect in this class?,B,12
FA15,CHEM,6A,"Bussey, Thomas J",E02,3,What grade do you expect in this class?,C,1
FA15,CHEM,6A,"Bussey, Thomas J",E02,5,Instructor displays a proficient command of the material.,agree,5
FA15,CHEM,6A,"Bussey, Thomas J",E02,5,Instructor displays a proficient command of the material.,strongly agree,17
FA15,CHEM,6A,"Bussey, Thomas J",E02,8,Instructor explains the [coursetype] material well.,agree,6
FA15,CHEM,6A,"Bussey, Thomas J",E02,8,Instructor explains the [coursetype] material well.,strongly agree,16
FA15,CHEM,6A,"Bussey, Thomas J",E02,9,Lectures hold your attention.,agree,5
FA15,CHEM,6A,"Bussey, Thomas J",E02,9,Lectures hold your attention.,disagree,1
FA15,CHEM,6A,"Bussey, Thomas J",E02,9,Lectures hold your attention.,neither agree nor disagree,4
FA15,CHEM,6A,"Bussey, Thomas J",E02,9,Lectures hold your attention.,strongly agree,12
FA15,CHEM,6A,"Bussey, Thomas J",E02,10,Instructor's lecture style facilitates note-taking.,agree,5
FA15,CHEM,6A,"Bussey, Thomas J",E02,10,Instructor's lecture style facilitates note-taking.,neither agree nor disagree,2
FA15,CHEM,6A,"Bussey, Thomas J",E02,10,Instructor's lecture style facilitates note-taking.,strongly agree,15
FA15,CHEM,6A,"Bussey, Thomas J",E02,20,This [coursetype] is difficult relative to others.,agree,9
FA15,CHEM,6A,"Bussey, Thomas J",E02,20,This [coursetype] is difficult relative to others.,disagree,3
FA15,CHEM,6A,"Bussey, Thomas J",E02,20,This [coursetype] is difficult relative to others.,neither agree nor disagree,4
FA15,CHEM,6A,"Bussey, Thomas J",E02,20,This [coursetype] is difficult relative to others.,strongly agree,6
FA15,CHEM,6A,"Bussey, Thomas J",E02,24,How many hours a week do you spend studying outside of class on average?,12-13,2
FA15,CHEM,6A,"Bussey, Thomas J",E02,24,How many hours a week do you spend studying outside of class on average?,2-3,5
FA15,CHEM,6A,"Bussey, Thomas J",E02,24,How many hours a week do you spend studying outside of class on average?,4-5,5
FA15,CHEM,6A,"Bussey, Thomas J",E02,24,How many hours a week do you spend studying outside of class on average?,6-7,5
FA15,CHEM,6A,"Bussey, Thomas J",E02,24,How many hours a week do you spend studying outside of class on average?,8-9,5
FA15,CHEM,6A,"Bussey, Thomas J",E02,26,Do you recommend this [coursetype] overall?,Yes,22
FA15,CHEM,6A,"Bussey, Thomas J",E02,27,Do you recommend this professor overall?,No,1
FA15,CHEM,6A,"Bussey, Thomas J",E02,27,Do you recommend this professor overall?,Yes,21
FA15,CHEM,6A,"Bussey, Thomas J",E03,2,Your reason for taking this class is,gen. ed.,3
FA15,CHEM,6A,"Bussey, Thomas J",E03,2,Your reason for taking this class is,major,17
FA15,CHEM,6A,"Bussey, Thomas J",E03,3,What grade do you expect in this class?,A,11
FA15,CHEM,6A,"Bussey, Thomas J",E03,3,What grade do you expect in this class?,B,7
FA15,CHEM,6A,"Bussey, Thomas J",E03,3,What grade do you expect in this class?,D,1
FA15,CHEM,6A,"Bussey, Thomas J",E03,5,Instructor displays a proficient command of the material.,agree,2
FA15,CHEM,6A,"Bussey, Thomas J",E03,5,Instructor displays a proficient command of the material.,strongly agree,18
FA15,CHEM,6A,"Bussey, Thomas J",E03,8,Instructor explains the [coursetype] material well.,agree,9
FA15,CHEM,6A,"Bussey, Thomas J",E03,8,Instructor explains the [coursetype] material well.,strongly agree,11
FA15,CHEM,6A,"Bussey, Thomas J",E03,9,Lectures hold your attention.,agree,9
FA15,CHEM,6A,"Bussey, Thomas J",E03,9,Lectures hold your attention.,neither agree nor disagree,4
FA15,CHEM,6A,"Bussey, Thomas J",E03,9,Lectures hold your attention.,strongly agree,7
FA15,CHEM,6A,"Bussey, Thomas J",E03,10,Instructor's lecture style facilitates note-taking.,agree,4
FA15,CHEM,6A,"Bussey, Thomas J",E03,10,Instructor's lecture style facilitates note-taking.,disagree,1
FA15,CHEM,6A,"Bussey, Thomas J",E03,10,Instructor's lecture style facilitates note-taking.,neither agree nor disagree,4
FA15,CHEM,6A,"Bussey, Thomas J",E03,10,Instructor's lecture style facilitates note-taking.,strongly agree,11
FA15,CHEM,6A,"Bussey, Thomas J",E03,20,This [coursetype] is difficult relative to others.,agree,9
FA15,CHEM,6A,"Bussey, Thomas J",E03,20,This [coursetype] is difficult relative to others.,neither agree nor disagree,5
FA15,CHEM,6A,"Bussey, Thomas J",E03,20,This [coursetype] is difficult relative to others.,strongly agree,3
FA15,CHEM,6A,"Bussey, Thomas J",E03,20,This [coursetype] is difficult relative to others.,strongly disagree,2
FA15,CHEM,6A,"Bussey, Thomas J",E03,24,How many hours a week do you spend studying outside of class on average?,0-1,1
FA15,CHEM,6A,"Bussey, Thomas J",E03,24,How many hours a week do you spend studying outside of class on average?,10-11,2
FA15,CHEM,6A,"Bussey, Thomas J",E03,24,How many hours a week do you spend studying outside of class on average?,2-3,4
FA15,CHEM,6A,"Bussey, Thomas J",E03,24,How many hours a week do you spend studying outside of class on average?,4-5,11
FA15,CHEM,6A,"Bussey, Thomas J",E03,24,How many hours a week do you spend studying outside of class on average?,6-7,2
FA15,CHEM,6A,"Bussey, Thomas J",E03,26,Do you recommend this [coursetype] overall?,No,1
FA15,CHEM,6A,"Bussey, Thomas J",E03,26,Do you recommend this [coursetype] overall?,Yes,19
FA15,CHEM,6A,"Bussey, Thomas J",E03,27,Do you recommend this professor overall?,Yes,20
FA15,CHEM,6A,"Bussey, Thomas J",E04,2,Your reason for taking this class is,gen. ed.,6
FA15,CHEM,6A,"Bussey, Thomas J",E04,2,Your reason for taking this class is,major,16
FA15,CHEM,6A,"Bussey, Thomas J",E04,3,What grade do you expect in this class?,A,9
FA15,CHEM,6A,"Bussey, Thomas J",E04,3,What grade do you expect in this class?,B,10
FA15,CHEM,6A,"Bussey, Thomas J",E04,3,What grade do you expect in this class?,C,2
FA15,CHEM,6A,"Bussey, Thomas J",E04,3,What grade do you expect in this class?,P,1
FA15,CHEM,6A,"Bussey, Thomas J",E04,5,Instructor displays a proficient command of the material.,agree,7
FA15,CHEM,6A,"Bussey, Thomas J",E04,5,Instructor displays a proficient command of the material.,strongly agree,15
FA15,CHEM,6A,"Bussey, Thomas J",E04,8,Instructor explains the [coursetype] material well.,agree,5
FA15,CHEM,6A,"Bussey, Thomas J",E04,8,Instructor explains the [coursetype] material well.,strongly agree,17
FA15,CHEM,6A,"Bussey, Thomas J",E04,9,Lectures hold your attention.,agree,8
FA15,CHEM,6A,"Bussey, Thomas J",E04,9,Lectures hold your attention.,neither agree nor disagree,3
FA15,CHEM,6A,"Bussey, Thomas J",E04,9,Lectures hold your attention.,strongly agree,11
FA15,CHEM,6A,"Bussey, Thomas J",E04,10,Instructor's lecture style facilitates note-taking.,agree,6
FA15,CHEM,6A,"Bussey, Thomas J",E04,10,Instructor's lecture style facilitates note-taking.,disagree,1
FA15,CHEM,6A,"Bussey, Thomas J",E04,10,Instructor's lecture style facilitates note-taking.,neither agree nor disagree,1
FA15,CHEM,6A,"Bussey, Thomas J",E04,10,Instructor's lecture style facilitates note-taking.,strongly agree,14
FA15,CHEM,6A,"Bussey, Thomas J",E04,20,This [coursetype] is difficult relative to others.,agree,10
FA15,CHEM,6A,"Bussey, Thomas J",E04,20,This [coursetype] is difficult relative to others.,disagree,1
FA15,CHEM,6A,"Bussey, Thomas J",E04,20,This [coursetype] is difficult relative to others.,neither agree nor disagree,5
FA15,CHEM,6A,"Bussey, Thomas J",E04,20,This [coursetype] is difficult relative to others.,strongly agree,6
FA15,CHEM,6A,"Bussey, Thomas J",E04,24,How many hours a week do you spend studying outside of class on average?,10-11,1
FA15,CHEM,6A,"Bussey, Thomas J",E04,24,How many hours a week do you spend studying outside of class on average?,12-13,2
FA15,CHEM,6A,"Bussey, Thomas J",E04,24,How many hours a week do you spend studying outside of class on average?,14-15,1
FA15,CHEM,6A,"Bussey, Thomas J",E04,24,How many hours a week do you spend studying outside of class on average?,2-3,1
FA15,CHEM,6A,"Bussey, Thomas J",E04,24,How many hours a week do you spend studying outside of class on average?,4-5,8
FA15,CHEM,6A,"Bussey, Thomas J",E04,24,How many hours a week do you spend studying outside of class on average?,6-7,7
FA15,CHEM,6A,"Bussey, Thomas J",E04,24,How many hours a week do you spend studying outside of class on average?,8-9,2
FA15,CHEM,6A,"Bussey, Thomas J",E04,26,Do you recommend this [coursetype] overall?,Yes,22
FA15,CHEM,6A,"Bussey, Thomas J",E04,27,Do you recommend this professor overall?,Yes,22
FA15,CHEM,6A,"Bussey, Thomas J",E05,2,Your reason for taking this class is,gen. ed.,2
FA15,CHEM,6A,"Bussey, Thomas J",E05,2,Your reason for taking this class is,major,22
FA15,CHEM,6A,"Bussey, Thomas J",E05,3,What grade do you expect in this class?,A,9
FA15,CHEM,6A,"Bussey, Thomas J",E05,3,What grade do you expect in this class?,B,12
FA15,CHEM,6A,"Bussey, Thomas J",E05,3,What grade do you expect in this class?,C,3
FA15,CHEM,6A,"Bussey, Thomas J",E05,5,Instructor displays a proficient command of the material.,agree,6
FA15,CHEM,6A,"Bussey, Thomas J",E05,5,Instructor displays a proficient command of the material.,strongly agree,17
FA15,CHEM,6A,"Bussey, Thomas J",E05,5,Instructor displays a proficient command of the material.,strongly disagree,1
FA15,CHEM,6A,"Bussey, Thomas J",E05,8,Instructor explains the [coursetype] material well.,agree,9
FA15,CHEM,6A,"Bussey, Thomas J",E05,8,Instructor explains the [coursetype] material well.,disagree,1
FA15,CHEM,6A,"Bussey, Thomas J",E05,8,Instructor explains the [coursetype] material well.,strongly agree,14
FA15,CHEM,6A,"Bussey, Thomas J",E05,9,Lectures hold your attention.,agree,9
FA15,CHEM,6A,"Bussey, Thomas J",E05,9,Lectures hold your attention.,disagree,3
FA15,CHEM,6A,"Bussey, Thomas J",E05,9,Lectures hold your attention.,neither agree nor disagree,1
FA15,CHEM,6A,"Bussey, Thomas J",E05,9,Lectures hold your attention.,not applicable,1
FA15,CHEM,6A,"Bussey, Thomas J",E05,9,Lectures hold your attention.,strongly agree,10
FA15,CHEM,6A,"Bussey, Thomas J",E05,10,Instructor's lecture style facilitates note-taking.,agree,9
FA15,CHEM,6A,"Bussey, Thomas J",E05,10,Instructor's lecture style facilitates note-taking.,neither agree nor disagree,1
FA15,CHEM,6A,"Bussey, Thomas J",E05,10,Instructor's lecture style facilitates note-taking.,strongly agree,14
FA15,CHEM,6A,"Bussey, Thomas J",E05,20,This [coursetype] is difficult relative to others.,agree,9
FA15,CHEM,6A,"Bussey, Thomas J",E05,20,This [coursetype] is difficult relative to others.,neither agree nor disagree,11
FA15,CHEM,6A,"Bussey, Thomas J",E05,20,This [coursetype] is difficult relative to others.,not applicable,1
FA15,CHEM,6A,"Bussey, Thomas J",E05,20,This [coursetype] is difficult relative to others.,strongly agree,3
FA15,CHEM,6A,"Bussey, Thomas J",E05,24,How many hours a week do you spend studying outside of class on average?,14-15,1
FA15,CHEM,6A,"Bussey, Thomas J",E05,24,How many hours a week do you spend studying outside of class on average?,2-3,6
FA15,CHEM,6A,"Bussey, Thomas J",E05,24,How many hours a week do you spend studying outside of class on average?,4-5,6
FA15,CHEM,6A,"Bussey, Thomas J",E05,24,How many hours a week do you spend studying outside of class on average?,6-7,7
FA15,CHEM,6A,"Bussey, Thomas J",E05,24,How many hours a week do you spend studying outside of class on average?,8-9,4
FA15,CHEM,6A,"Bussey, Thomas J",E05,26,Do you recommend this [coursetype] overall?,Yes,24
FA15,CHEM,6A,"Bussey, Thomas J",E05,27,Do you recommend this professor overall?,No,1
FA15,CHEM,6A,"Bussey, Thomas J",E05,27,Do you recommend this professor overall?,Yes,23
FA15,CHEM,6A,"Bussey, Thomas J",E06,2,Your reason for taking this class is,gen. ed.,5
FA15,CHEM,6A,"Bussey, Thomas J",E06,2,Your reason for taking this class is,major,23
FA15,CHEM,6A,"Bussey, Thomas J",E06,3,What grade do you expect in this class?,A,6
FA15,CHEM,6A,"Bussey, Thomas J",E06,3,What grade do you expect in this class?,B,17
FA15,CHEM,6A,"Bussey, Thomas J",E06,3,What grade do you expect in this class?,C,5
FA15,CHEM,6A,"Bussey, Thomas J",E06,5,Instructor displays a proficient command of the material.,agree,4
FA15,CHEM,6A,"Bussey, Thomas J",E06,5,Instructor displays a proficient command of the material.,strongly agree,24
FA15,CHEM,6A,"Bussey, Thomas J",E06,8,Instructor explains the [coursetype] material well.,agree,6
FA15,CHEM,6A,"Bussey, Thomas J",E06,8,Instructor explains the [coursetype] material well.,strongly agree,22
FA15,CHEM,6A,"Bussey, Thomas J",E06,9,Lectures hold your attention.,agree,6
FA15,CHEM,6A,"Bussey, Thomas J",E06,9,Lectures hold your attention.,disagree,1
FA15,CHEM,6A,"Bussey, Thomas J",E06,9,Lectures hold your attention.,neither agree nor disagree,6
FA15,CHEM,6A,"Bussey, Thomas J",E06,9,Lectures hold your attention.,strongly agree,14
FA15,CHEM,6A,"Bussey, Thomas J",E06,9,Lectures hold your attention.,strongly disagree,1
FA15,CHEM,6A,"Bussey, Thomas J",E06,10,Instructor's lecture style facilitates note-taking.,agree,5
FA15,CHEM,6A,"Bussey, Thomas J",E06,10,Instructor's lecture style facilitates note-taking.,disagree,3
FA15,CHEM,6A,"Bussey, Thomas J",E06,10,Instructor's lecture style facilitates note-taking.,neither agree nor disagree,2
FA15,CHEM,6A,"Bussey, Thomas J",E06,10,Instructor's lecture style facilitates note-taking.,strongly agree,18
FA15,CHEM,6A,"Bussey, Thomas J",E06,20,This [coursetype] is difficult relative to others.,agree,14
FA15,CHEM,6A,"Bussey, Thomas J",E06,20,This [coursetype] is difficult relative to others.,disagree,1
FA15,CHEM,6A,"Bussey, Thomas J",E06,20,This [coursetype] is difficult relative to others.,neither agree nor disagree,7
FA15,CHEM,6A,"Bussey, Thomas J",E06,20,This [coursetype] is difficult relative to others.,strongly agree,6
FA15,CHEM,6A,"Bussey, Thomas J",E06,24,How many hours a week do you spend studying outside of class on average?,0-1,1
FA15,CHEM,6A,"Bussey, Thomas J",E06,24,How many hours a week do you spend studying outside of class on average?,10-11,5
FA15,CHEM,6A,"Bussey, Thomas J",E06,24,How many hours a week do you spend studying outside of class on average?,12-13,2
FA15,CHEM,6A,"Bussey, Thomas J",E06,24,How many hours a week do you spend studying outside of class on average?,2-3,1
FA15,CHEM,6A,"Bussey, Thomas J",E06,24,How many hours a week do you spend studying outside of class on average?,4-5,5
FA15,CHEM,6A,"Bussey, Thomas J",E06,24,How many hours a week do you spend studying outside of class on average?,6-7,10
FA15,CHEM,6A,"Bussey, Thomas J",E06,24,How many hours a week do you spend studying outside of class on average?,8-9,4
FA15,CHEM,6A,"Bussey, Thomas J",E06,26,Do you recommend this [coursetype] overall?,Yes,28
FA15,CHEM,6A,"Bussey, Thomas J",E06,27,Do you recommend this professor overall?,Yes,28
FA15,CHEM,6A,"Bussey, Thomas J",E07,2,Your reason for taking this class is,gen. ed.,7
FA15,CHEM,6A,"Bussey, Thomas J",E07,2,Your reason for taking this class is,major,15
FA15,CHEM,6A,"Bussey, Thomas J",E07,3,What grade do you expect in this class?,A,4
FA15,CHEM,6A,"Bussey, Thomas J",E07,3,What grade do you expect in this class?,B,17
FA15,CHEM,6A,"Bussey, Thomas J",E07,3,What grade do you expect in this class?,P,1
FA15,CHEM,6A,"Bussey, Thomas J",E07,5,Instructor displays a proficient command of the material.,agree,4
FA15,CHEM,6A,"Bussey, Thomas J",E07,5,Instructor displays a proficient command of the material.,neither agree nor disagree,1
FA15,CHEM,6A,"Bussey, Thomas J",E07,5,Instructor displays a proficient command of the material.,strongly agree,17
FA15,CHEM,6A,"Bussey, Thomas J",E07,8,Instructor explains the [coursetype] material well.,agree,6
FA15,CHEM,6A,"Bussey, Thomas J",E07,8,Instructor explains the [coursetype] material well.,neither agree nor disagree,2
FA15,CHEM,6A,"Bussey, Thomas J",E07,8,Instructor explains the [coursetype] material well.,strongly agree,14
FA15,CHEM,6A,"Bussey, Thomas J",E07,9,Lectures hold your attention.,agree,9
FA15,CHEM,6A,"Bussey, Thomas J",E07,9,Lectures hold your attention.,disagree,2
FA15,CHEM,6A,"Bussey, Thomas J",E07,9,Lectures hold your attention.,neither agree nor disagree,5
FA15,CHEM,6A,"Bussey, Thomas J",E07,9,Lectures hold your attention.,strongly agree,6
FA15,CHEM,6A,"Bussey, Thomas J",E07,10,Instructor's lecture style facilitates note-taking.,agree,7
FA15,CHEM,6A,"Bussey, Thomas J",E07,10,Instructor's lecture style facilitates note-taking.,disagree,1
FA15,CHEM,6A,"Bussey, Thomas J",E07,10,Instructor's lecture style facilitates note-taking.,strongly agree,14
FA15,CHEM,6A,"Bussey, Thomas J",E07,20,This [coursetype] is difficult relative to others.,agree,11
FA15,CHEM,6A,"Bussey, Thomas J",E07,20,This [coursetype] is difficult relative to others.,disagree,1
FA15,CHEM,6A,"Bussey, Thomas J",E07,20,This [coursetype] is difficult relative to others.,neither agree nor disagree,5
FA15,CHEM,6A,"Bussey, Thomas J",E07,20,This [coursetype] is difficult relative to others.,strongly agree,5
FA15,CHEM,6A,"Bussey, Thomas J",E07,24,How many hours a week do you spend studying outside of class on average?,0-1,1
FA15,CHEM,6A,"Bussey, Thomas J",E07,24,How many hours a week do you spend studying outside of class on average?,10-11,3
FA15,CHEM,6A,"Bussey, Thomas J",E07,24,How many hours a week do you spend studying outside of class on average?,12-13,2
FA15,CHEM,6A,"Bussey, Thomas J",E07,24,How many hours a week do you spend studying outside of class on average?,14-15,1
FA15,CHEM,6A,"Bussey, Thomas J",E07,24,How many hours a week do you spend studying outside of class on average?,2-3,2
FA15,CHEM,6A,"Bussey, Thomas J",E07,24,How many hours a week do you spend studying outside of class on average?,20 or more,1
FA15,CHEM,6A,"Bussey, Thomas J",E07,24,How many hours a week do you spend studying outside of class on average?,4-5,4
FA15,CHEM,6A,"Bussey, Thomas J",E07,24,How many hours a week do you spend studying outside of class on average?,6-7,6
FA15,CHEM,6A,"Bussey, Thomas J",E07,24,How many hours a week do you spend studying outside of class on average?,8-9,2
FA15,CHEM,6A,"Bussey, Thomas J",E07,26,Do you recommend this [coursetype] overall?,No,2
FA15,CHEM,6A,"Bussey, Thomas J",E07,26,Do you recommend this [coursetype] overall?,Yes,20
FA15,CHEM,6A,"Bussey, Thomas J",E07,27,Do you recommend this professor overall?,No,2
FA15,CHEM,6A,"Bussey, Thomas J",E07,27,Do you recommend this professor overall?,Yes,20
FA15,CHEM,6A,"Bussey, Thomas J",E08,2,Your reason for taking this class is,gen. ed.,5
FA15,CHEM,6A,"Bussey, Thomas J",E08,2,Your reason for taking this class is,interest,1
FA15,CHEM,6A,"Bussey, Thomas J",E08,2,Your reason for taking this class is,major,18
FA15,CHEM,6A,"Bussey, Thomas J",E08,3,What grade do you expect in this class?,A,13
FA15,CHEM,6A,"Bussey, Thomas J",E08,3,What grade do you expect in this class?,B,9
FA15,CHEM,6A,"Bussey, Thomas J",E08,3,What grade do you expect in this class?,C,1
FA15,CHEM,6A,"Bussey, Thomas J",E08,5,Instructor displays a proficient command of the material.,agree,6
FA15,CHEM,6A,"Bussey, Thomas J",E08,5,Instructor displays a proficient command of the material.,disagree,1
FA15,CHEM,6A,"Bussey, Thomas J",E08,5,Instructor displays a proficient command of the material.,strongly agree,17
FA15,CHEM,6A,"Bussey, Thomas J",E08,8,Instructor explains the [coursetype] material well.,agree,4
FA15,CHEM,6A,"Bussey, Thomas J",E08,8,Instructor explains the [coursetype] material well.,disagree,1
FA15,CHEM,6A,"Bussey, Thomas J",E08,8,Instructor explains the [coursetype] material well.,strongly agree,19
FA15,CHEM,6A,"Bussey, Thomas J",E08,9,Lectures hold your attention.,agree,10
FA15,CHEM,6A,"Bussey, Thomas J",E08,9,Lectures hold your attention.,disagree,1
FA15,CHEM,6A,"Bussey, Thomas J",E08,9,Lectures hold your attention.,neither agree nor disagree,1
FA15,CHEM,6A,"Bussey, Thomas J",E08,9,Lectures hold your attention.,strongly agree,12
FA15,CHEM,6A,"Bussey, Thomas J",E08,10,Instructor's lecture style facilitates note-taking.,agree,5
FA15,CHEM,6A,"Bussey, Thomas J",E08,10,Instructor's lecture style facilitates note-taking.,disagree,1
FA15,CHEM,6A,"Bussey, Thomas J",E08,10,Instructor's lecture style facilitates note-taking.,strongly agree,18
FA15,CHEM,6A,"Bussey, Thomas J",E08,20,This [coursetype] is difficult relative to others.,agree,8
FA15,CHEM,6A,"Bussey, Thomas J",E08,20,This [coursetype] is difficult relative to others.,disagree,3
FA15,CHEM,6A,"Bussey, Thomas J",E08,20,This [coursetype] is difficult relative to others.,neither agree nor disagree,4
FA15,CHEM,6A,"Bussey, Thomas J",E08,20,This [coursetype] is difficult relative to others.,not applicable,1
FA15,CHEM,6A,"Bussey, Thomas J",E08,20,This [coursetype] is difficult relative to others.,strongly agree,6
FA15,CHEM,6A,"Bussey, Thomas J",E08,20,This [coursetype] is difficult relative to others.,strongly disagree,2
FA15,CHEM,6A,"Bussey, Thomas J",E08,24,How many hours a week do you spend studying outside of class on average?,10-11,1
FA15,CHEM,6A,"Bussey, Thomas J",E08,24,How many hours a week do you spend studying outside of class on average?,12-13,2
FA15,CHEM,6A,"Bussey, Thomas J",E08,24,How many hours a week do you spend studying outside of class on average?,2-3,3
FA15,CHEM,6A,"Bussey, Thomas J",E08,24,How many hours a week do you spend studying outside of class on average?,4-5,6
FA15,CHEM,6A,"Bussey, Thomas J",E08,24,How many hours a week do you spend studying outside of class on average?,6-7,6
FA15,CHEM,6A,"Bussey, Thomas J",E08,24,How many hours a week do you spend studying outside of class on average?,8-9,6
FA15,CHEM,6A,"Bussey, Thomas J",E08,26,Do you recommend this [coursetype] overall?,No,3
FA15,CHEM,6A,"Bussey, Thomas J",E08,26,Do you recommend this [coursetype] overall?,Yes,21
FA15,CHEM,6A,"Bussey, Thomas J",E08,27,Do you recommend this professor overall?,No,2
FA15,CHEM,6A,"Bussey, Thomas J",E08,27,Do you recommend this professor overall?,Yes,22
FA15,CHEM,6A,"Bussey, Thomas J",E09,2,Your reason for taking this class is,elective,1
FA15,CHEM,6A,"Bussey, Thomas J",E09,2,Your reason for taking this class is,gen. ed.,2
FA15,CHEM,6A,"Bussey, Thomas J",E09,2,Your reason for taking this class is,interest,2
FA15,CHEM,6A,"Bussey, Thomas J",E09,2,Your reason for taking this class is,major,17
FA15,CHEM,6A,"Bussey, Thomas J",E09,3,What grade do you expect in this class?,A,11
FA15,CHEM,6A,"Bussey, Thomas J",E09,3,What grade do you expect in this class?,B,11
FA15,CHEM,6A,"Bussey, Thomas J",E09,5,Instructor displays a proficient command of the material.,agree,7
FA15,CHEM,6A,"Bussey, Thomas J",E09,5,Instructor displays a proficient command of the material.,strongly agree,15
FA15,CHEM,6A,"Bussey, Thomas J",E09,8,Instructor explains the [coursetype] material well.,agree,3
FA15,CHEM,6A,"Bussey, Thomas J",E09,8,Instructor explains the [coursetype] material well.,disagree,1
FA15,CHEM,6A,"Bussey, Thomas J",E09,8,Instructor explains the [coursetype] material well.,neither agree nor disagree,1
FA15,CHEM,6A,"Bussey, Thomas J",E09,8,Instructor explains the [coursetype] material well.,strongly agree,17
FA15,CHEM,6A,"Bussey, Thomas J",E09,9,Lectures hold your attention.,agree,8
FA15,CHEM,6A,"Bussey, Thomas J",E09,9,Lectures hold your attention.,neither agree nor disagree,1
FA15,CHEM,6A,"Bussey, Thomas J",E09,9,Lectures hold your attention.,strongly agree,12
FA15,CHEM,6A,"Bussey, Thomas J",E09,9,Lectures hold your attention.,strongly disagree,1
FA15,CHEM,6A,"Bussey, Thomas J",E09,10,Instructor's lecture style facilitates note-taking.,agree,4
FA15,CHEM,6A,"Bussey, Thomas J",E09,10,Instructor's lecture style facilitates note-taking.,disagree,1
FA15,CHEM,6A,"Bussey, Thomas J",E09,10,Instructor's lecture style facilitates note-taking.,neither agree nor disagree,2
